Year,Team size,P1,P2,P3,P4,P5,P6,P7,Total,Rank,Awards,Leader,Deputy leader,Data quality
All,M,F,Abs.,Rel.,G,S,B,HM,S,N,M,G
2019,6,5,1,34,17,1,24,19,0,,95,53,53.15%,0,0,3,1,Patricia Fauring,Martín Mereb,•,•,•,•
2018,6,6,,36,16,0,39,22,2,,115,39,64.15%,0,1,4,0,Patricia Fauring,Martín Mereb,•,•,•,•
2017,6,6,,40,20,0,42,9,0,,111,26,77.27%,1,2,1,2,Patricia Fauring,Martín Mereb,•,•,•,•
2016,6,5,1,37,7,1,29,1,0,,75,57,48.15%,0,0,2,3,Patricia Fauring,Martín Mereb,•,•,•,•
2015,6,5,1,33,4,0,29,4,0,,70,52,50.49%,0,0,1,4,Patricia Fauring,Martín Mereb,•,•,•,•
2014,6,6,,41,10,0,28,2,0,,81,56,45.00%,0,0,2,4,Patricia Fauring,Ramiro Lafuente,•,•,•,•
2013,6,6,,19,11,0,9,7,0,,46,67,31.25%,0,0,1,1,Patricia Fauring,Flora Gutiérrez,•,•,•,•
2012,6,5,1,42,1,0,24,6,1,,74,54,46.46%,0,0,2,4,Ana Wykowski,Bibiana Russo,•,•,•,•
2011,6,5,1,36,7,1,23,9,1,,77,49,52.00%,1,0,0,4,Patricia Fauring,Flora Gutierrez,•,•,•,•
2010,6,5,1,36,15,1,37,3,0,,92,39,59.57%,0,1,2,2,Patricia Fauring,Flora Gutierrez,•,•,•,•
2009,6,6,,36,21,9,7,20,0,,93,35,66.99%,0,1,1,2,Patricia Fauring,Flora Gutierrez,•,•,•,•
2008,6,6,,30,13,0,32,10,0,,85,39,60.42%,0,1,3,0,Patricia Fauring,Flora Gutierrez,•,•,•,•
2007,6,6,,21,8,3,35,8,0,,75,47,50.00%,0,1,1,3,Patricia Fauring,Flora Gutierrez,•,•,•,•
2006,6,6,,40,15,1,35,4,0,,95,30,67.42%,0,2,2,1,Patricia Fauring,Flora Gutierrez,•,•,•,•
2005,6,6,,17,20,0,19,7,2,,65,46,50.00%,0,1,2,0,,,•,•,•,•
2004,6,5,1,31,12,3,19,18,9,,92,39,54.76%,1,0,2,1,Patricia Fauring,Flora Gutierrez,•,•,•,•
2003,6,6,,28,14,7,32,3,7,,91,28,66.67%,1,1,2,1,,,•,•,•,•
2002,6,6,,22,32,2,28,8,4,,96,31,63.86%,0,0,5,0,,,•,•,•,•
2001,6,6,,28,9,9,32,20,5,,103,22,74.39%,0,3,2,0,,,•,•,•,•
2000,6,4,2,35,15,7,22,4,5,,88,25,70.37%,0,1,4,0,,,•,•,•,•
1999,6,6,,28,2,9,14,7,3,,63,45,45.00%,0,0,3,0,,,•,•,•,•
1998,6,6,,27,21,14,17,18,0,,97,29,62.67%,1,0,3,0,Patricia Fauring,Flora Gutierrez,•,•,•,•
1997,6,6,,8,27,3,29,24,3,,94,37,55.56%,0,0,3,2,,,•,•,•,•
1996,6,5,1,21,23,9,18,1,8,,80,29,62.16%,0,1,3,0,,,•,•,•,•
1995,6,4,2,34,7,20,35,32,1,,129,29,61.11%,0,2,2,1,,,•,•,•,•
1994,6,5,1,16,27,33,29,33,21,,159,20,72.06%,0,3,1,0,,,•,•,•,•
1993,6,5,1,9,8,0,11,14,4,,46,42,43.06%,0,1,1,0,,,•,•,•,•
1992,6,6,,17,18,4,22,4,2,,67,32,43.64%,0,1,1,1,,,•,•,•,•
1991,6,6,,21,27,6,24,8,8,,94,27,52.73%,0,0,3,1,Juan A. Tirao,Patricia Fauring,•,•,•,•
1990,6,6,,4,14,6,14,26,3,,67,38,30.19%,0,0,1,2,,,•,•,•,•
1988,3,3,,9,0,1,0,13,0,,23,45,8.33%,0,0,0,1,,,•,•,•,•
