Year,Team size,P1,P2,P3,P4,P5,P6,P7,Total,Rank,Awards,Leader,Deputy leader,Data quality
All,M,F,Abs.,Rel.,G,S,B,HM,S,N,M,G
2019,2,,2,10,3,0,8,2,0,,23,89,20.72%,0,0,0,2,Evidio Quintana Fernández,Roman Fresneda Quiroga,•,•,•,•
2017,1,1,,5,1,0,7,0,0,,13,102,8.18%,0,0,0,1,Nelson Tomás Hernández Reyes,,•,•,•,•
2015,1,1,,7,0,0,7,1,0,,15,94,9.71%,0,0,1,0,Eduardo Miguel Pérez Almarales,,•,•,•,•
2014,1,1,,1,1,0,7,1,0,,10,92,9.00%,0,0,0,1,Enech Juan García Martínez,,•,•,•,•
2013,1,1,,1,1,0,7,2,0,,11,91,6.25%,0,0,0,1,Eduardo Pérez Almarales,,•,•,•,•
2012,1,1,,2,6,0,0,0,0,,8,95,5.05%,0,0,0,0,Enech García Martínez,,•,•,•,•
2010,1,1,,7,7,0,7,5,0,,26,85,10.64%,0,1,0,0,Eduardo Pérez Almarales,,•,•,•,•
2009,1,1,,7,6,1,5,2,0,,21,85,18.45%,0,0,1,0,Eduardo Pérez Almarales,,•,•,•,•
2008,1,1,,7,6,7,7,0,0,,27,81,16.67%,0,1,0,0,Eduardo Pérez Almarales,,•,•,•,•
2007,1,1,,1,7,0,7,1,0,,16,87,6.52%,0,0,1,0,Raúl Ochoa Rojas,,•,•,•,•
2005,4,4,,10,10,0,20,14,0,,54,52,43.33%,0,0,3,1,,,•,•,•,•
2004,1,,,7,4,3,0,3,0,,17,78,8.33%,0,0,1,0,Raoul Ochoa Rojas,,•,•,•,
2003,1,,,2,5,0,7,0,0,,14,76,7.41%,0,0,1,0,,,•,•,•,
2002,6,1,,20,27,1,23,7,0,,78,39,54.22%,0,0,2,3,,,•,•,•,
2001,6,5,1,37,7,5,20,19,4,,92,26,69.51%,1,1,3,0,,,•,•,•,•
2000,6,3,,30,6,0,14,5,6,,61,44,46.91%,0,0,2,2,,,•,•,•,
1999,6,,,25,9,0,10,31,2,,77,27,67.50%,0,1,4,0,,,•,•,•,
1998,1,,,2,7,1,2,7,0,,19,67,12.00%,0,0,1,0,Rojas Ochoa,,•,•,•,
1997,6,,,11,35,1,18,25,1,,91,40,51.85%,0,1,2,3,,,•,•,•,
1996,1,,,4,7,1,1,0,3,,16,66,12.16%,0,0,1,0,,,•,•,•,
1995,4,,,25,0,8,12,14,0,,59,55,25.00%,0,0,0,2,,,•,•,•,
1994,1,,,0,7,0,4,1,0,,12,68,1.47%,0,0,0,1,,,•,•,•,
1993,6,6,,7,22,0,14,9,4,,56,36,51.39%,0,1,1,1,,,•,•,•,•
1992,3,3,,0,3,1,13,0,0,,17,55,1.82%,0,0,0,1,,,•,•,•,•
1991,6,5,1,28,23,3,1,25,0,,80,34,40.00%,0,0,2,2,Alexis Duran Jorrin,Maria E. Santibanez Pinera,•,•,•,•
1990,6,,,23,7,8,14,12,3,,67,38,30.19%,0,0,1,1,,,•,•,•,
1989,6,,,5,22,2,12,19,9,,69,33,34.69%,0,0,1,3,,,•,•,•,
1988,6,6,,24,5,3,2,1,0,,35,40,18.75%,0,0,0,1,,,•,•,•,•
1987,6,,,20,24,1,17,21,0,,83,24,43.90%,0,0,2,,,,•,•,•,
1986,6,,,19,1,3,17,10,1,,51,33,11.11%,0,0,0,,,,•,,•,
1985,6,,,31,10,0,10,20,3,,74,18,54.05%,0,0,2,,Luis Davidson,Raimundo Reguera,•,•,•,
1984,6,,,19,23,1,17,5,2,,67,22,36.36%,0,0,1,,,,•,•,•,
1983,6,6,,,,,,,,,36,24,25.81%,0,0,1,,,,,•,•,•
1982,4,4,,12,7,4,5,16,0,,44,25,17.24%,0,0,0,,,,•,•,•,•
1981,8,8,,26,20,13,12,35,35,,141,18,34.62%,0,1,0,,,,,•,•,•
1979,4,,,5,6,6,10,5,3,,35,21,9.09%,0,0,0,,Felix Recio,,•,,•,
1978,4,4,,15,13,5,5,20,10,,68,15,12.50%,0,0,2,,,,,,•,
1977,4,,,,,,,,,,41,18,15.00%,0,0,0,,Felix Recio,,,•,•,
1976,3,,,0,0,10,1,0,5,,16,18,0.00%,0,0,0,,N. del Prado,,•,•,•,
1974,7,5,1,22,2,1,20,13,7,,65,17,5.88%,0,0,0,,Luis Davidson,Felix Recio,•,•,•,
1973,5,5,,9,6,3,11,13,0,,42,16,0.00%,0,0,1,0,L. Davidson,F. Recio,•,•,•,•
1972,3,,,0,1,0,1,6,6,,14,14,0.00%,0,0,0,,Luis J. Davidson,Felix Recio,,,•,
1971,4,,,4,2,1,1,0,1,,9,15,0.00%,0,0,0,,Luis Davidson,,,,•,
