Year,Team size,P1,P2,P3,P4,P5,P6,P7,Total,Rank,Awards,Leader,Deputy leader,Data quality
All,M,F,Abs.,Rel.,G,S,B,HM,S,N,M,G
2019,6,5,1,41,27,1,19,23,0,,111,41,63.96%,0,1,3,2,Rogelio Valdez,David Cossio Ruiz,•,•,•,•
2018,6,6,,36,20,0,38,23,6,,123,36,66.98%,0,1,4,1,Marco Antonio Figueroa Ibarra,Daniel Perales Anaya,•,•,•,•
2017,6,6,,42,13,0,39,2,0,,96,43,61.82%,0,1,2,3,Rogelio Valdez,Jorge Garza Vargas,•,•,•,•
2016,6,5,1,42,22,0,39,6,17,,126,23,79.63%,0,4,1,1,Rogelio Valdez,Marco Antonio Figueroa Ibarra,•,•,•,•
2015,6,6,,42,14,5,42,9,2,,114,19,82.52%,1,2,3,0,Leonardo Ignacio Martínez Sandoval,Rogelio Valdez Delgado,•,•,•,•
2014,6,6,,42,31,2,41,12,0,,128,26,75.00%,0,4,1,1,Leonardo Ignacio Martínez Sandoval,David Cossio Ruiz,•,•,•,•
2013,6,6,,42,32,0,42,22,1,,139,17,83.33%,0,3,3,0,Leonardo Ignacio Martínez Sandoval,Rogelio Valdez,•,•,•,•
2012,6,6,,42,15,0,28,17,0,,102,31,69.70%,1,1,2,2,Leonardo Ignacio Martínez Sandoval,Marco Antonio Figueroa Ibarra,•,•,•,•
2011,6,6,,42,4,0,41,30,3,,120,22,79.00%,0,2,4,0,Radmila Bulajich,Leonardo Ignacio Martínez Sandoval,•,•,•,•
2010,6,6,,40,16,1,42,3,0,,102,33,65.96%,0,1,4,1,Radmila Bulajich,Marco Antonio Figueroa Ibarra,•,•,•,•
2009,6,6,,30,30,1,11,2,0,,74,50,52.43%,0,0,3,1,Radmila Bulajich,Pablo Soberón,•,•,•,•
2008,6,6,,42,4,0,24,17,0,,87,37,62.50%,0,1,1,4,Antonio Olivas Martínez,Hugo Villanueva Méndez,•,•,•,•
2007,6,6,,13,26,0,41,5,1,,86,37,60.87%,0,0,4,2,Eugenia Liliana Radmila Bulajich,Rogelio Valdez,•,•,•,•
2006,6,6,,37,16,1,37,19,0,,110,24,74.16%,1,2,1,1,Radmila Bulajich Manfrino,Humberto Montalván Gámez,•,•,•,•
2005,6,6,,9,28,0,42,7,5,,91,31,66.67%,0,0,4,2,,,•,•,•,•
2004,6,6,,32,13,6,24,18,3,,96,37,57.14%,0,0,3,1,Radmila Bulajich Manfrino,Humperto Montalvan,•,•,•,•
2003,6,4,2,25,3,0,32,4,0,,64,41,50.62%,0,0,3,1,,,•,•,•,•
2002,6,6,,19,21,1,13,13,0,,67,46,45.78%,0,0,3,0,,,•,•,•,•
2001,6,6,,17,0,0,25,14,0,,56,46,45.12%,0,0,2,1,,,•,•,•,•
2000,6,6,,25,18,0,22,10,0,,75,32,61.73%,0,1,3,1,,,•,•,•,•
1999,6,5,1,18,3,10,8,7,7,,53,52,36.25%,0,0,1,0,,,•,•,•,•
1998,6,6,,17,20,4,11,10,0,,62,44,42.67%,0,1,0,1,Maria Luisa Perez Segui,Jose Antonio Gomez Ortega,•,•,•,•
1997,6,6,,15,25,1,34,25,5,,105,32,61.73%,0,1,3,1,,,•,•,•,•
1996,6,6,,18,3,9,4,0,0,,34,53,29.73%,0,0,0,0,,,•,•,•,•
1995,6,6,,13,6,9,8,7,0,,43,58,20.83%,0,0,1,0,,,•,•,•,•
1994,6,6,,0,17,3,9,0,0,,29,65,5.88%,0,0,0,1,,,•,•,•,•
1993,6,5,1,2,2,4,8,8,0,,24,61,16.67%,0,0,1,0,,,•,•,•,•
1992,6,6,,3,8,4,10,0,7,,32,50,10.91%,0,0,0,2,,,•,•,•,•
1991,6,6,,6,21,13,6,27,3,,76,35,38.18%,0,0,1,3,Carlos Bosch-Giral,Raúl Rueda,•,•,•,•
1990,6,6,,16,15,6,8,18,6,,69,37,32.08%,0,0,1,2,,,•,•,•,•
1989,6,5,1,8,18,7,14,19,13,,79,31,38.78%,0,0,1,2,,,•,•,•,•
1988,6,6,,11,2,9,0,15,3,,40,37,25.00%,0,0,1,2,,,•,•,•,•
1987,5,5,,0,7,0,2,7,1,,17,40,4.88%,0,0,0,,,,•,•,•,•
1981,5,5,,1,3,0,0,8,0,,12,27,0.00%,0,0,0,,,,,•,•,•
